tag,site,date_coll,vac_status,vac_type,inf_status_c,inf_status_igs,overall_status,notes
H4662 ,GC,04/21/2015,s,sham,0,0,0,
H4662 ,GC,06/04/2015,sb_2,sham,1,1,1,
H4667 ,GC,04/28/2015,s,sham,1,1,1,
H4667 ,GC,06/04/2015,sb_2,sham,1,1,1,
H7196 ,GC,05/21/2015,s,sham,0,0,0,
H7196 ,GC,06/18/2015,sb_2,sham,1,1,1,
H7231,GC,04/21/2015,s,sham,0,0,0,
H7231 ,GC,06/18/2015,sb_2,sham,1,1,1,
H7233 ,GC,06/18/2015,s,sham,0,0,0,
H7233 ,GC,07/30/2015,sb_2,sham,0,0,0,
H7255 ,GC,06/04/2015,s,sham,0,0,0,
H7255 ,GC,07/07/2015,sb_2,sham,0,0,0,
H7257_H7341 ,GC,07/07/2015,sb_2,sham,0,1,1,
H7260 ,GC,04/22/2015,s,sham,0,0,0,
H7260 ,GC,06/04/2015,sb_2,sham,0,0,0,
H7317 ,GC,06/04/2015,s,sham,0,0,0,
H7317 ,GC,07/02/2015,sb_2,sham,1,0,1,
H7319 ,GC,04/29/2015,s,sham,0,0,0,
H7319 ,GC,06/19/2015,sb_2,sham,1,1,1,
H7338 ,GC,06/18/2015,s,sham,1,1,1,
H7338 ,GC,07/30/2015,sb_2,sham,1,1,1,
H7355 ,GC,06/04/2015,s,sham,0,0,0,
H7355 ,GC,07/07/2015,sb_2,sham,1,1,1,
H7379 ,GC,06/05/2015,s,sham,0,0,0,
H7379,GC,07/31/2015,sb_2,sham,0,0,0,
H7399 ,GC,07/07/2015,s,sham,0,0,0,
H7399 ,GC,08/18/2015,sb_2,sham,0,0,0,
H7403_H7390_H7309 ,GC,07/07/2015,sb_2,sham,1,1,1,
H7404 ,GC,06/04/2015,s,sham,1,1,1,
H7404 ,GC,07/08/2015,sb_2,sham,0,0,0,
H7408 ,GC,06/05/2015,s,sham,0,0,0,
H7408 ,GC,07/07/2015,sb_2,sham,0,0,0,
H7427 ,GC,07/07/2015,s,sham,0,0,0,
H7427 ,GC,08/18/2015,sb_2,sham,0,0,0,
H7492 ,GC,06/19/2015,s,sham,1,1,1,
H7492 ,GC,07/30/2015,sb_2,sham,1,0,1,
E6019 ,GX,04/13/2015,v,TRUE,0,0,0,
E6019 ,GX,06/02/2015,vb_2,TRUE,0,0,0,
E6144 ,GX,05/19/2015,v,TRUE,1,1,1,
E6144 ,GX,06/16/2015,vb_2,TRUE,1,0,1,
E6214 ,GX,04/13/2015,v,TRUE,0,0,0,
E6214 ,GX,05/19/2015,vb_2,TRUE,0,0,0,
E6234_E6579 ,GX,06/02/2015,vb_2,TRUE,1,1,1,
E6261 ,GX,06/16/2015,vb_2,TRUE,0,0,0,
E6299 ,GX,04/16/2015,v,TRUE,0,0,0,
E6412 ,GX,07/09/2015,v,TRUE,1,1,1,
E6412 ,GX,08/20/2015,vb_2,TRUE,0,1,1,
E6426 ,GX,06/17/2015,v,TRUE,0,0,0,
E6426 ,GX,07/29/2015,vb_2,TRUE,0,0,0,
E6428 ,GX,06/17/2015,v,TRUE,1,1,1,
E6428 ,GX,07/28/2015,vb_2,TRUE,0,1,1,
E6456 ,GX,07/10/2015,v,TRUE,0,0,0,
E6456 ,GX,08/20/2015,vb_2,TRUE,0,0,0,
E6460 ,GX,07/09/2015,v,TRUE,0,0,0,
E6460 ,GX,08/20/2015,vb_2,TRUE,0,0,0,
E6462,GX,06/17/2015,v,TRUE,0,0,0,
E6462 ,GX,07/28/2015,vb_2,TRUE,0,0,0,
E6467 ,GX,07/07/2015,v,TRUE,0,0,0,
E6467 ,GX,08/21/2015,vb_2,TRUE,0,0,0,
E6471_E6554 ,GX,06/02/2015,vb_2,TRUE,1,1,1,
E6480 ,GX,06/03/2015,v,TRUE,0,0,0,
E6480 ,GX,07/28/2015,vb_2,TRUE,1,1,1,
E6483 ,GX,07/22/2015,vb_2,TRUE,0,0,0,
E6527 ,GX,06/02/2015,v,TRUE,0,0,0,
E6527 ,GX,07/28/2015,vb_2,TRUE,0,0,0,
E6528 ,GX,04/16/2015,v,TRUE,0,0,0,
E6528 ,GX,05/19/2015,vb_2,TRUE,0,1,1,
E6533_E6514_E6401 ,GX,07/06/2015,vb_2,TRUE,1,0,1,
E6538_E6511 ,GX,07/06/2015,vb_2,TRUE,0,0,0,
E6553 ,GX,04/30/2015,v,TRUE,0,0,0,
E6553 ,GX,06/02/2015,vb_2,TRUE,0,0,0,
E6556 ,GX,06/03/2015,v,TRUE,0,0,0,
E6556 ,GX,07/10/2015,vb_2,TRUE,1,1,1,
E6598 ,GX,07/10/2015,v,TRUE,0,0,0,
E6598 ,GX,08/20/2015,vb_2,TRUE,0,0,0,
H5327 ,HC,05/05/2015,s,sham,0,0,0,
H5327 ,HC,07/01/2015,sb_2,sham,1,1,1,
H5394 ,HC,04/14/2015,s,sham,0,0,0,
H5394 ,HC,06/11/2015,sb_2,sham,1,1,1,
H6406 ,HC,05/20/2015,s,sham,0,0,0,"A little confused what I should call the vac status because so many were given. Decided to call the second tissue sample collected SB1, the third SB2, and the fourth SB3. The number and order are below"
H6406 ,HC,05/28/2015,sb1,sham,1,1,1,"S, SB1, SB1, SB2"
H6406 ,HC,06/11/2015,sb_2,sham,1,1,1,"S, SB1, SB1, SB2"
H6406 ,HC,07/21/2015,sb_3,sham,1,1,1,"S, SB1, SB1, SB2"
H6499 ,HC,06/12/2015,s,sham,0,0,0,
H6499 ,HC,07/21/2015,sb_2,sham,0,0,0,
H6510 ,HC,04/14/2015,s,sham,0,0,0,
H6510 ,HC,05/29/2015,sb_2,sham,0,0,0,
H6513 ,HC,04/14/2015,s,sham,0,0,0,
H6513 ,HC,05/28/2015,sb_2,sham,0,0,0,
H6521 ,HC,07/01/2015,s,sham,0,0,0,
H6521 ,HC,08/11/2015,sb_2,sham,0,0,0,
H6547 ,HC,05/29/2015,s,sham,0,0,0,
H6547 ,HC,07/01/2015,sb_2,sham,1,1,1,
H6552 ,HC,06/11/2015,s,sham,0,0,0,
H6552 ,HC,07/21/2015,sb_2,sham,0,0,0,
H6610 ,HC,06/11/2015,s,sham,0,0,0,
H6610,HC,07/21/2015,sb_2,sham,0,0,0,
H6611 ,HC,06/11/2015,s,sham,0,0,0,
H6611 ,HC,07/21/2015,sb_2,sham,0,0,0,
H6615 ,HC,05/28/2015,s,sham,0,0,0,
H6615 ,HC,07/01/2015,sb_2,sham,1,1,1,
H6617 ,HC,05/28/2015,s,sham,0,0,0,
H6617 ,HC,08/11/2015,sb_2,sham,1,1,1,
H6635 ,HC,06/04/2015,s,sham,1,1,1,
H6635 ,HC,07/21/2015,sb_2,sham,1,1,1,
H6636 ,HC,06/12/2015,s,sham,0,0,0,
H6636 ,HC,07/21/2015,sb_2,sham,0,0,0,
H6643,HC,06/11/2015,s,sham,0,0,0,
H6643 ,HC,07/21/2015,sb_2,sham,0,0,0,
H6654 ,HC,06/12/2015,s,sham,0,0,0,
H6654 ,HC,07/21/2015,sb_2,sham,1,1,1,
H6695 ,HC,04/14/2015,s,sham,0,0,0,
H6695 ,HC,05/28/2015,sb_2,sham,1,1,1,
H6704 ,HC,06/24/2015,s,sham,0,0,0,
H6704 ,HC,07/21/2015,sb_2,sham,0,0,0,
H6717 ,HC,07/15/2015,s,sham,0,0,0,
H6717,HC,08/11/2015,sb_2,sham,0,0,0,
E7329 ,HX,06/09/2015,v,TRUE,1,1,1,
E7329 ,HX,08/13/2015,vb_2,TRUE,1,0,1,
E7419 ,HX,04/17/2015,v,TRUE,0,0,0,
E7419 ,HX,05/26/2015,vb_2,TRUE,0,0,0,
E7420 ,HX,04/16/2015,v,TRUE,0,1,1,
E7420 ,HX,05/26/2015,vb_2,TRUE,1,1,1,
E7447 ,HX,04/16/2015,v,TRUE,0,0,0,
E7447 ,HX,05/26/2015,vb_2,TRUE,1,1,1,
E7464 ,HX,05/26/2015,vb_2,TRUE,0,1,1,
E7485 ,HX,06/09/2015,v,TRUE,0,0,0,
E7485 ,HX,07/08/2015,vb_2,TRUE,0,0,0,
E7501 ,HX,04/17/2015,v,TRUE,0,0,0,
E7501 ,HX,05/26/2015,vb1,TRUE,1,0,1,
E7501 ,HX,06/04/2015,vb_2,TRUE,1,1,1,
E7502 ,HX,04/16/2015,v,TRUE,0,0,0,
E7502 ,HX,05/26/2015,vb_2,TRUE,1,1,1,
E7509 ,HX,05/26/2015,v,TRUE,1,0,1,
E7509 ,HX,06/29/2015,vb_2,TRUE,1,1,1,
E7538 ,HX,06/25/2015,v,TRUE,0,0,0,
E7538 ,HX,08/13/2015,vb_2,TRUE,1,0,1,
E7540_E7617 ,HX,09/01/2015,vb_2,TRUE,1,1,1,
E7597 ,HX,05/26/2015,v,TRUE,1,1,1,
E7597 ,HX,06/25/2015,vb_2,TRUE,1,1,1,
E7601 ,HX,05/26/2015,v,TRUE,0,0,0,
E7601 ,HX,06/29/2015,vb_2,TRUE,1,1,1,
E7610 ,HX,08/13/2015,vb_2,TRUE,0,0,0,
E7637 ,HX,06/10/2015,v,TRUE,1,1,1,
E7637 ,HX,08/13/2015,vb_2,TRUE,1,0,1,
E7650 ,HX,06/29/2015,v,TRUE,1,1,1,
E7650 ,HX,09/01/2015,vb_2,TRUE,0,1,1,
E7653 ,HX,06/29/2015,v,TRUE,0,0,0,
E7653 ,HX,09/01/2015,vb_2,TRUE,1,0,1,
E7701 ,HX,06/29/2015,v,TRUE,0,0,0,
E7701 ,HX,08/14/2015,vb_2,TRUE,0,0,0,
E7728_E7673 ,HX,09/01/2015,vb_2,TRUE,0,0,0,
H5778 ,TC,04/08/2015,s,sham,0,0,0,
H5778 ,TC,05/12/2015,sb_2,sham,1,1,1,
H5838,TC,04/21/2015,s,sham,1,1,1,
H5838 ,TC,05/29/2015,sb_2,sham,0,0,0,
H5854 ,TC,04/07/2015,s,sham,0,1,1,
H5854 ,TC,05/12/2015,sb_2,sham,1,1,1,
H5868 ,TC,07/08/2015,s,sham,0,0,0,
H5868 ,TC,05/12/2015,sb_2,sham,1,1,1,
H5874_H6152_H6102 ,TC,08/25/2015,sb_2,sham,0,0,0,
H5875 ,TC,07/16/2015,s,sham,0,0,0,
H5875 ,TC,08/25/2015,sb_2,sham,0,0,0,
H5908 ,TC,05/28/2015,s,sham,0,0,0,
H5908 ,TC,06/23/2015,sb_2,sham,0,0,0,
H5919 ,TC,07/17/2015,s,sham,0,0,0,
H5919 ,TC,08/25/2015,sb_2,sham,0,0,0,
H5947 ,TC,06/11/2015,s,sham,0,0,0,
H5947 ,TC,08/04/2015,sb_2,sham,1,1,1,
H5980 ,TC,04/07/2015,s,sham,0,0,0,
H5980 ,TC,05/12/2015,sb_2,sham,0,0,0,
H5982 ,TC,04/07/2015,s,sham,1,0,1,
H5982 ,TC,05/12/2015,sb_2,sham,1,1,1,
H6013 ,TC,07/01/2015,s,sham,0,0,0,
H6013 ,TC,08/04/2015,sb_2,sham,0,0,0,
H6024_H6119 ,TC,08/25/2015,sb_2,sham,0,0,0,
H6026 ,TC,06/23/2015,s,sham,0,0,0,
H6026 ,TC,08/04/2015,sb_2,sham,0,0,0,
H6031 ,TC,06/22/2015,s,sham,0,0,0,
H6031 ,TC,08/04/2015,sb_2,sham,1,1,1,
H6035 ,TC,08/04/2015,sb_2,sham,1,1,1,
H6040 ,TC,07/16/2015,s,sham,0,0,0,
H6040 ,TC,08/25/2015,sb_2,sham,1,0,1,
H6063 ,TC,06/12/2015,s,sham,0,0,0,
H6063 ,TC,08/04/2015,sb_2,sham,1,0,1,
H6069 ,TC,07/22/2015,s,sham,0,0,0,
H6069 ,TC,08/25/2015,sb_2,sham,0,0,0,
H6078,TC,05/13/2015,s,sham,0,0,0,
H6078 ,TC,06/11/2015,sb_2,sham,1,1,1,
H6097 ,TC,07/17/2015,s,sham,0,0,0,
H6097 ,TC,08/25/2015,sb_2,sham,0,0,0,
H6126 ,TC,07/17/2015,s,sham,1,1,1,
H6126 ,TC,08/25/2015,sb_2,sham,1,1,1,
H6153 ,TC,08/25/2015,sb_2,sham,1,1,1,
E6797,TX,04/10/2015,v,TRUE,0,0,0,
E6797 ,TX,05/14/2015,vb_2,TRUE,0,0,0,
E6849 ,TX,04/23/2015,v,TRUE,0,0,0,
E6849 ,TX,05/26/2015,vb_2,TRUE,1,0,1,
E6862_E6859 ,TX,05/14/2015,vb_2,TRUE,0,0,0,
E6893 ,TX,04/23/2015,v,TRUE,0,0,0,
E6893 ,TX,05/26/2015,vb_2,TRUE,0,0,0,
E6932 ,TX,04/10/2015,v,TRUE,0,0,0,
E6932 ,TX,05/27/2015,vb_2,TRUE,0,0,0,
E6952 ,TX,04/23/2015,v,TRUE,0,0,0,
E6952 ,TX,05/26/2015,vb_2,TRUE,1,1,1,
E6954 ,TX,05/14/2015,vb_2,TRUE,0,0,0,
E6962 ,TX,04/10/2015,v,TRUE,0,0,0,
E6962 ,TX,05/14/2015,vb_2,TRUE,0,0,0,
E6992 ,TX,07/14/2015,v,TRUE,0,0,0,
E6992,TX,08/27/2015,vb_2,TRUE,0,0,0,
E6995 ,TX,07/14/2015,v,TRUE,0,0,0,
E6995 ,TX,08/19/2015,vb_2,TRUE,1,1,1,
E7002 ,TX,07/14/2015,v,TRUE,0,0,0,
E7002 ,TX,08/27/2015,vb_2,TRUE,1,1,1,
E7014 ,TX,06/09/2015,v,TRUE,0,0,0,
E7014 ,TX,07/14/2015,vb_2,TRUE,0,0,0,
E7069 ,TX,06/24/2015,v,TRUE,0,0,0,
E7069 ,TX,08/06/2015,vb_2,TRUE,0,0,0,
E7145 ,TX,06/30/2015,v,TRUE,0,0,0,
E7145 ,TX,08/07/2015,vb_2,TRUE,0,0,0,
E7154 ,TX,06/10/2015,v,TRUE,1,1,1,
E7154 ,TX,07/14/2015,vb_2,TRUE,1,1,1,
E7160 ,TX,07/14/2015,v,TRUE,0,0,0,
E7160 ,TX,08/27/2015,vb_2,TRUE,0,0,0,
